resena_id,destino_id,visitante_id,calificacion,comentario,fecha_resena
93,10,2459,4,"Buen lugar, pero caro",2023-11-16
94,16,2209,3,Demasiado turístico,2023-01-19
95,6,1839,5,"Buen lugar, pero caro",2023-12-23
96,16,3213,5,Increíble experiencia,2023-04-27
97,11,2751,4,Perfecto para familias,2023-05-16
98,20,2355,1,"Buen lugar, pero caro",2023-10-23
99,3,3378,5,Cultura fascinante,2024-06-08
100,9,2145,5,Cultura fascinante,2023-04-11
101,15,1213,3,Increíble experiencia,2024-01-15
102,13,1507,4,No volvería,2023-06-04
103,10,3964,5,Servicio excelente,2024-08-16
104,20,3849,5,Perfecto para familias,2024-08-22
105,13,3216,5,Asequible y hermoso,2023-04-15
106,17,2570,5,Recomendado,2024-10-03
107,7,3878,1,Perfecto para familias,2024-06-09
108,6,3835,2,Increíble experiencia,2023-05-08
109,13,3475,3,Cultura fascinante,2024-02-05
110,17,2733,1,Asequible y hermoso,2024-07-25
111,15,2245,3,"Buen lugar, pero caro",2024-06-12
112,4,2016,5,No volvería,2024-07-10
113,15,2144,3,No volvería,2024-07-03
114,14,2271,4,Servicio excelente,2023-05-04
115,11,2933,4,Servicio excelente,2023-12-26
116,4,1773,2,Perfecto para familias,2023-03-05
117,3,2530,2,Recomendado,2024-09-15
118,2,2082,3,Increíble experiencia,2023-04-12
119,20,2152,1,Asequible y hermoso,2024-07-14
120,10,2723,1,Cultura fascinante,2023-10-04
121,13,1717,5,Increíble experiencia,2023-08-15
122,20,3134,1,Increíble experiencia,2023-01-23
123,18,1104,2,Demasiado turístico,2024-11-27
124,16,3191,1,Demasiado turístico,2023-03-05
125,11,1205,5,"Buen lugar, pero caro",2023-06-06
126,10,3689,4,Recomendado,2024-01-25
127,9,2387,1,"Buen lugar, pero caro",2023-05-29
128,12,2645,1,Asequible y hermoso,2023-12-29
129,19,2333,2,Cultura fascinante,2024-11-11
130,1,3049,3,Cultura fascinante,2024-04-08
131,18,3059,4,Increíble experiencia,2024-10-06
132,14,2850,3,Servicio excelente,2024-02-03
133,1,1747,5,Cultura fascinante,2024-02-09
134,17,2664,5,Servicio excelente,2023-05-12
135,11,2238,3,Servicio excelente,2023-07-16
136,20,3019,2,Asequible y hermoso,2024-10-08
137,15,1956,2,Recomendado,2023-02-04
138,4,3803,2,Increíble experiencia,2024-02-24
139,15,1518,4,Cultura fascinante,2024-01-12
140,14,2439,5,Recomendado,2024-02-03
141,1,2032,5,Demasiado turístico,2023-08-08
142,9,3053,5,Asequible y hermoso,2024-11-27
143,7,3742,4,Recomendado,2024-05-31
144,11,3160,5,Asequible y hermoso,2024-08-05
145,2,1273,3,Recomendado,2023-12-08
146,2,1422,1,Servicio excelente,2024-02-20
147,6,3313,4,Increíble experiencia,2024-03-31
148,19,2482,1,Cultura fascinante,2023-10-24
149,20,3260,3,Perfecto para familias,2023-11-27
150,14,1782,2,No volvería,2024-12-05
151,3,3714,2,Increíble experiencia,2024-11-10
152,7,2245,2,Servicio excelente,2023-12-05
153,7,3417,4,Servicio excelente,2023-10-25
154,4,3395,2,Perfecto para familias,2024-11-07
155,5,3073,4,Servicio excelente,2023-11-08
156,17,1976,4,Servicio excelente,2024-08-05
157,4,2744,1,Demasiado turístico,2023-02-24
158,13,1417,2,Cultura fascinante,2024-11-24
159,16,3563,5,Increíble experiencia,2024-06-17
160,16,1215,2,No volvería,2023-04-15
161,2,2136,2,No volvería,2023-06-24
162,18,1914,2,Servicio excelente,2023-10-21
163,1,2583,5,Recomendado,2024-07-04
164,18,3025,5,Increíble experiencia,2024-01-10
165,8,1428,4,Perfecto para familias,2024-03-25
166,11,1733,5,Demasiado turístico,2024-03-20
167,15,3747,4,No volvería,2023-03-01
168,16,3264,1,Servicio excelente,2024-01-27
169,17,1413,4,Asequible y hermoso,2024-01-25
170,17,3428,2,Asequible y hermoso,2023-07-31
171,12,2626,3,Recomendado,2024-10-28
172,10,1232,3,Perfecto para familias,2024-11-15
173,20,1835,2,Asequible y hermoso,2024-06-18
174,6,1258,4,No volvería,2023-08-28
175,8,2280,2,Recomendado,2024-05-02
176,13,1403,5,Perfecto para familias,2024-12-21
177,2,3472,4,Demasiado turístico,2023-05-02
178,19,1770,2,Asequible y hermoso,2023-09-10
179,10,1065,5,"Buen lugar, pero caro",2023-05-21
180,4,3238,5,Increíble experiencia,2024-03-27
181,12,1950,4,Perfecto para familias,2023-06-02
182,18,1173,1,Perfecto para familias,2024-12-26
183,7,3807,1,Asequible y hermoso,2023-11-04
184,20,3676,5,Recomendado,2024-07-13
185,4,3609,1,Increíble experiencia,2023-11-13
186,7,2251,5,No volvería,2024-06-12
187,10,2412,1,No volvería,2023-10-23
188,15,3449,5,"Buen lugar, pero caro",2023-12-11
189,12,1638,5,Cultura fascinante,2024-08-03
190,1,1949,5,Asequible y hermoso,2024-08-19
191,20,3261,5,Recomendado,2023-10-09
192,18,3101,3,Increíble experiencia,2023-07-27
193,16,3672,1,Recomendado,2024-07-05
194,5,2695,5,Cultura fascinante,2023-04-06
195,19,1752,2,No volvería,2024-03-27
196,4,1662,4,Recomendado,2024-01-08
197,6,3187,2,No volvería,2024-10-09
198,17,3466,2,No volvería,2023-03-14
199,7,1143,3,"Buen lugar, pero caro",2024-11-11
200,7,2906,1,No volvería,2023-11-29
201,9,3557,3,Servicio excelente,2024-01-28
202,13,3698,1,No volvería,2024-12-10
203,20,1486,5,Increíble experiencia,2023-04-16
204,14,1992,3,Increíble experiencia,2023-04-11
205,16,2461,4,Increíble experiencia,2023-12-25
206,9,3591,1,Perfecto para familias,2023-11-25
207,15,1293,3,Asequible y hermoso,2024-09-09
208,5,2644,4,Asequible y hermoso,2024-01-30
209,18,3719,2,Asequible y hermoso,2023-02-04
210,20,1838,5,Servicio excelente,2023-06-06
211,8,2038,5,Increíble experiencia,2023-09-30
212,15,3682,2,Asequible y hermoso,2024-01-31
213,9,2751,3,Cultura fascinante,2023-07-26
214,19,1272,2,Cultura fascinante,2024-08-27
215,6,2049,4,Recomendado,2024-09-12
216,4,2959,1,Perfecto para familias,2023-11-02
217,11,3370,3,No volvería,2024-09-17
218,10,1806,1,Increíble experiencia,2024-06-19
219,3,2705,2,Servicio excelente,2024-04-06
220,1,2890,5,Perfecto para familias,2023-09-09
221,12,1883,1,"Buen lugar, pero caro",2023-09-24
222,15,3283,1,"Buen lugar, pero caro",2023-07-28
223,15,1832,5,Demasiado turístico,2024-07-20
224,14,2113,1,No volvería,2024-06-22
225,7,3192,1,Increíble experiencia,2024-05-17
226,17,3041,5,Perfecto para familias,2024-05-28
227,19,2106,5,"Buen lugar, pero caro",2024-08-02
228,7,3637,2,Demasiado turístico,2023-05-28
229,3,2595,2,Servicio excelente,2024-10-03
230,3,3277,1,Increíble experiencia,2023-03-24
231,18,2627,3,"Buen lugar, pero caro",2023-02-11
232,20,2890,2,Asequible y hermoso,2023-06-05
233,14,2805,2,Cultura fascinante,2024-10-30
234,3,2221,3,Demasiado turístico,2024-03-28
235,7,1274,3,Servicio excelente,2024-09-10
236,7,1590,5,"Buen lugar, pero caro",2023-10-11
237,5,3701,2,Servicio excelente,2023-07-07
238,3,1583,4,No volvería,2024-09-08
239,18,1968,4,Recomendado,2024-09-15
240,15,2991,1,Demasiado turístico,2024-04-18
241,20,3420,2,Perfecto para familias,2024-05-21
242,14,2259,4,Perfecto para familias,2023-05-13
243,4,2311,2,"Buen lugar, pero caro",2023-09-28
244,8,3867,2,Asequible y hermoso,2024-09-13
245,13,1572,4,Asequible y hermoso,2023-03-14
246,8,1545,2,No volvería,2024-03-11
247,15,2461,3,Perfecto para familias,2023-10-20
248,17,1127,1,Demasiado turístico,2024-10-16
249,5,1733,5,Cultura fascinante,2024-03-12
250,20,1417,4,Asequible y hermoso,2024-10-28
251,4,1638,5,Perfecto para familias,2024-10-22
252,11,1041,1,Recomendado,2023-03-01
253,18,1787,3,Demasiado turístico,2024-08-20
254,10,1297,3,Cultura fascinante,2024-12-04
255,17,2621,3,Recomendado,2023-11-23
256,15,1042,3,Perfecto para familias,2023-07-01
257,6,3680,4,"Buen lugar, pero caro",2024-03-09
258,16,1033,4,No volvería,2024-06-02
259,15,2300,2,No volvería,2024-09-29
260,8,3713,2,Cultura fascinante,2023-03-24
261,9,1616,1,Recomendado,2023-01-28
262,11,1948,2,Perfecto para familias,2023-09-23
263,2,2548,1,Perfecto para familias,2023-10-10
264,13,1160,1,"Buen lugar, pero caro",2024-02-01
265,4,2953,1,Servicio excelente,2024-11-30
266,9,3506,3,No volvería,2024-01-18
267,5,2732,5,Servicio excelente,2024-08-03
268,19,3447,5,Servicio excelente,2023-11-15
269,3,2843,4,"Buen lugar, pero caro",2024-09-02
270,3,2798,1,Servicio excelente,2023-07-12
271,6,2733,3,Servicio excelente,2023-08-15
272,10,1581,2,"Buen lugar, pero caro",2024-03-26
273,5,1220,2,Asequible y hermoso,2023-07-01
274,3,1379,4,Servicio excelente,2023-11-23
275,7,2750,4,No volvería,2024-08-27
276,18,3978,1,"Buen lugar, pero caro",2024-10-16
277,8,2471,1,Demasiado turístico,2023-07-22
278,1,1964,2,Servicio excelente,2024-02-06
279,4,2170,2,Asequible y hermoso,2024-10-05
280,7,1233,2,No volvería,2024-04-16
281,14,2395,2,Increíble experiencia,2024-10-07
282,13,1922,5,No volvería,2023-06-28
283,10,3282,1,Recomendado,2024-11-28
284,18,3774,1,Demasiado turístico,2023-01-18
285,1,1367,2,Perfecto para familias,2024-04-07
286,4,1481,3,Recomendado,2024-08-31
287,16,2597,2,"Buen lugar, pero caro",2024-06-29
288,16,3638,4,"Buen lugar, pero caro",2024-02-07
289,18,2119,3,Perfecto para familias,2024-01-28
290,8,2866,4,Cultura fascinante,2023-10-27
291,10,3035,3,Cultura fascinante,2023-12-17
292,16,1216,4,Perfecto para familias,2023-07-06
293,11,1725,2,"Buen lugar, pero caro",2023-12-13
294,6,2840,2,No volvería,2024-09-14
295,1,1712,3,Demasiado turístico,2024-02-13
296,12,2888,4,Asequible y hermoso,2023-03-12
297,6,2826,5,Demasiado turístico,2023-11-23
298,13,1985,3,Perfecto para familias,2023-07-31
299,17,2159,3,"Buen lugar, pero caro",2023-11-05
300,1,2107,1,Cultura fascinante,2023-04-18
301,8,1391,3,"Buen lugar, pero caro",2023-06-26
302,8,2071,5,Cultura fascinante,2024-03-02
303,11,1392,2,Demasiado turístico,2024-06-14
304,14,3766,4,Recomendado,2024-02-22
305,10,1385,1,No volvería,2023-09-05
306,15,3429,4,Demasiado turístico,2023-07-28
307,7,2283,2,No volvería,2023-08-04
308,7,3652,3,Servicio excelente,2024-12-13
309,10,1934,5,Demasiado turístico,2024-03-13
310,4,2971,1,Increíble experiencia,2024-09-09
311,18,1399,5,Increíble experiencia,2023-11-07
312,10,3148,5,No volvería,2024-01-18
313,19,1383,5,Servicio excelente,2023-09-28
314,14,3755,5,No volvería,2023-05-01
315,13,3058,2,Perfecto para familias,2024-02-11
316,15,3312,5,Increíble experiencia,2023-09-02
317,16,3880,5,"Buen lugar, pero caro",2023-03-07
318,2,3678,2,No volvería,2023-08-16
319,4,3810,4,No volvería,2023-05-17
320,18,3243,2,Asequible y hermoso,2023-07-13
321,17,3610,3,Asequible y hermoso,2024-12-06
322,10,2431,2,Cultura fascinante,2024-10-19
323,9,2914,4,Servicio excelente,2024-10-18
324,15,3145,3,Increíble experiencia,2024-05-03
325,12,3510,3,Increíble experiencia,2024-08-06
326,9,1758,1,Asequible y hermoso,2023-12-20
327,14,3135,5,No volvería,2024-12-04
328,13,1991,3,No volvería,2024-07-09
329,6,3125,3,Increíble experiencia,2023-06-06
330,19,2913,4,Servicio excelente,2024-04-20
331,4,2740,3,Recomendado,2023-01-16
332,20,2507,4,Perfecto para familias,2023-03-19
333,17,1661,5,Increíble experiencia,2023-02-21
334,19,3029,1,Cultura fascinante,2024-05-28
335,3,2135,1,Recomendado,2024-05-18
336,14,3026,5,Increíble experiencia,2023-03-02
337,17,1765,5,Asequible y hermoso,2023-05-12
338,13,3726,2,Increíble experiencia,2024-01-17
339,9,2673,3,Recomendado,2024-07-17
340,1,3839,3,Perfecto para familias,2024-11-22
341,17,2547,3,No volvería,2024-06-26
342,16,1583,4,Demasiado turístico,2024-02-14
343,18,1671,2,Asequible y hermoso,2023-06-04
344,2,2752,3,Recomendado,2024-09-24
345,14,1538,4,Cultura fascinante,2023-02-20
346,17,2822,4,Cultura fascinante,2023-04-05
347,3,2186,1,"Buen lugar, pero caro",2024-11-18
348,2,1430,4,Demasiado turístico,2024-06-06
349,8,2638,5,Increíble experiencia,2024-06-07
350,2,3181,4,"Buen lugar, pero caro",2023-12-21
351,2,1189,5,Cultura fascinante,2023-02-14
352,9,2747,5,Increíble experiencia,2023-07-24
353,20,2702,1,"Buen lugar, pero caro",2024-03-06
354,6,3621,1,Increíble experiencia,2023-09-13
355,12,3327,4,Perfecto para familias,2023-09-05
356,9,2649,1,Demasiado turístico,2024-06-16
357,7,3590,1,Asequible y hermoso,2023-02-10
358,12,3012,3,Asequible y hermoso,2024-04-03
359,5,2185,4,Asequible y hermoso,2023-10-04
360,16,3794,4,Cultura fascinante,2023-07-14
361,5,3947,4,Perfecto para familias,2023-03-12
362,12,3501,1,Demasiado turístico,2023-09-27
363,20,3937,1,Recomendado,2023-12-01
364,9,1851,5,Servicio excelente,2024-08-07
365,7,1170,2,Recomendado,2023-11-04
366,19,1830,2,Asequible y hermoso,2024-03-02
367,20,3746,2,Recomendado,2023-07-18
368,11,2081,3,Increíble experiencia,2023-03-17
369,12,2264,1,Increíble experiencia,2024-10-19
370,3,1769,5,Recomendado,2024-06-08
371,17,1358,5,No volvería,2024-10-02
372,7,3249,2,"Buen lugar, pero caro",2023-08-18
373,10,3492,3,Servicio excelente,2023-03-26
374,15,3875,3,Cultura fascinante,2023-06-11
375,2,2326,2,Recomendado,2024-02-01
376,13,3149,2,Demasiado turístico,2024-01-06
377,4,2121,1,No volvería,2024-07-16
378,18,2689,3,Perfecto para familias,2023-08-03
379,1,3986,5,No volvería,2023-01-01
380,2,3077,2,Servicio excelente,2024-01-12
381,2,2530,1,Demasiado turístico,2024-02-16
382,4,3713,5,No volvería,2024-09-26
383,3,2462,3,Cultura fascinante,2023-07-19
384,17,2403,2,"Buen lugar, pero caro",2023-07-02
385,14,1073,2,Demasiado turístico,2024-02-14
386,2,1254,1,Increíble experiencia,2024-02-02
387,16,2935,1,Cultura fascinante,2023-08-04
388,11,1516,3,Asequible y hermoso,2023-12-15
389,13,3797,2,Perfecto para familias,2024-08-02
390,1,2044,1,Servicio excelente,2024-08-16
391,2,2649,2,Servicio excelente,2024-10-15
392,2,3583,3,Recomendado,2023-02-10
393,5,1421,2,Servicio excelente,2023-01-03
394,4,3494,5,Servicio excelente,2023-04-04
395,12,1879,2,"Buen lugar, pero caro",2023-02-28
396,3,1136,4,Perfecto para familias,2024-02-11
397,20,2325,4,"Buen lugar, pero caro",2023-01-18
398,10,2633,3,Increíble experiencia,2024-05-08
399,20,1033,3,Demasiado turístico,2024-05-22
400,18,3695,3,No volvería,2024-08-08
401,10,2791,5,Perfecto para familias,2023-11-28
402,1,1278,5,No volvería,2023-06-18
403,6,3181,2,Asequible y hermoso,2024-11-02
404,11,1750,1,"Buen lugar, pero caro",2024-11-11
405,2,3174,4,Cultura fascinante,2023-07-25
406,7,3393,4,No volvería,2024-06-04
407,20,1017,4,Cultura fascinante,2024-05-19
408,18,3872,2,Recomendado,2023-12-12
409,19,3610,2,Perfecto para familias,2023-10-31
410,4,3695,3,Recomendado,2023-04-25
411,13,3678,1,Demasiado turístico,2024-10-25
412,18,2402,3,Recomendado,2023-03-28
413,20,1818,2,Cultura fascinante,2023-04-05
414,13,3108,5,Servicio excelente,2024-03-03
415,19,2661,3,"Buen lugar, pero caro",2024-11-28
416,17,1467,2,Recomendado,2024-03-25
417,1,1628,2,Demasiado turístico,2024-09-17
418,6,3439,5,Perfecto para familias,2024-06-24
419,19,3984,5,Demasiado turístico,2024-12-15
420,20,3733,5,"Buen lugar, pero caro",2023-01-02
421,1,2211,1,No volvería,2023-03-19
422,8,3546,2,Increíble experiencia,2023-11-20
423,17,1600,5,Perfecto para familias,2023-04-08
424,15,2739,1,Cultura fascinante,2024-09-20
425,18,2385,4,Increíble experiencia,2023-04-20
426,7,2847,4,Demasiado turístico,2024-11-09
427,16,2856,4,Demasiado turístico,2024-04-01
428,7,3497,2,Demasiado turístico,2024-05-02
429,17,2888,1,Increíble experiencia,2024-01-06
430,4,1680,1,Recomendado,2023-12-03
431,12,2836,4,"Buen lugar, pero caro",2024-08-21
432,13,3178,3,Perfecto para familias,2023-01-22
433,4,1149,4,"Buen lugar, pero caro",2024-12-22
434,1,2496,2,Perfecto para familias,2023-11-01
435,1,1818,4,Perfecto para familias,2023-09-29
436,7,2745,4,No volvería,2024-05-04
437,9,2647,1,Demasiado turístico,2024-03-21
438,1,3996,4,Asequible y hermoso,2023-10-05
439,16,3548,5,"Buen lugar, pero caro",2024-10-12
440,18,2673,5,No volvería,2024-01-12
441,15,2379,3,Demasiado turístico,2023-08-20
442,6,2940,2,Servicio excelente,2024-08-14
443,2,1658,2,Servicio excelente,2024-03-01
444,9,2054,1,Recomendado,2023-02-24
445,4,1577,2,Increíble experiencia,2024-03-16
446,13,1723,3,Servicio excelente,2023-02-03
447,11,3270,5,Cultura fascinante,2023-11-25
448,13,3650,1,Demasiado turístico,2024-03-29
449,11,2642,5,Asequible y hermoso,2024-01-23
450,19,1684,3,Demasiado turístico,2024-03-05
451,8,1742,1,Servicio excelente,2024-04-20
452,7,3973,4,Asequible y hermoso,2023-05-05
453,16,3628,2,Recomendado,2024-06-06
454,3,3449,3,Recomendado,2024-04-26
455,17,3046,1,No volvería,2023-11-13
456,18,3949,5,Cultura fascinante,2023-05-02
457,15,2628,1,Servicio excelente,2024-06-30
458,17,3560,4,Cultura fascinante,2024-08-03
459,11,3136,3,"Buen lugar, pero caro",2023-11-09
460,5,2489,1,No volvería,2024-05-01
461,16,1050,3,No volvería,2024-10-12
462,15,1103,3,"Buen lugar, pero caro",2023-01-12
463,10,1368,5,Cultura fascinante,2023-05-05
464,14,1936,2,Recomendado,2024-10-20
465,2,2715,4,"Buen lugar, pero caro",2023-03-18
466,16,2803,1,Demasiado turístico,2024-08-02
467,19,2421,2,Increíble experiencia,2024-12-18
468,8,2801,5,Asequible y hermoso,2023-08-24
469,15,3946,2,Recomendado,2024-07-24
470,10,3957,3,Recomendado,2023-09-11
471,5,3306,3,Perfecto para familias,2024-02-10
472,20,2996,4,Recomendado,2023-08-31
473,16,2968,1,No volvería,2024-04-05
474,12,1390,1,Recomendado,2023-10-04
475,13,2367,5,Demasiado turístico,2024-04-13
476,9,1773,4,Recomendado,2023-08-08
477,17,3802,1,No volvería,2023-08-13
478,20,1394,3,"Buen lugar, pero caro",2023-04-11
479,12,1683,4,"Buen lugar, pero caro",2024-09-25
480,5,1270,2,Servicio excelente,2024-12-30
481,12,1149,4,Increíble experiencia,2024-05-21
482,1,1811,4,Increíble experiencia,2024-08-09
483,20,1028,1,Increíble experiencia,2023-11-27
484,16,3328,5,Recomendado,2023-08-25
485,12,2206,5,"Buen lugar, pero caro",2023-12-05
486,9,1166,1,Recomendado,2024-05-20
487,13,3065,1,Perfecto para familias,2023-06-14
488,17,2174,1,Servicio excelente,2024-10-30
489,17,1339,5,"Buen lugar, pero caro",2024-12-23
490,4,2069,1,Increíble experiencia,2024-12-28
491,14,1842,2,Asequible y hermoso,2023-08-06
492,19,1189,2,Recomendado,2024-01-11
493,7,1651,3,Demasiado turístico,2023-01-12
494,3,1294,2,Asequible y hermoso,2024-03-07
495,1,2858,4,Demasiado turístico,2023-03-24
496,12,2323,3,Perfecto para familias,2024-03-06
497,15,3463,2,Increíble experiencia,2024-09-16
498,11,2648,4,Recomendado,2024-04-22
499,10,1803,2,Recomendado,2024-12-07
500,2,1431,4,Demasiado turístico,2024-01-04
501,4,2519,1,Recomendado,2024-10-14
502,17,1487,4,Perfecto para familias,2024-09-27
503,17,1089,1,No volvería,2023-05-21
504,8,1271,4,No volvería,2024-12-20
505,14,2957,4,Demasiado turístico,2024-09-18
506,4,2773,2,Increíble experiencia,2024-12-18
507,6,1900,4,Demasiado turístico,2024-03-31
508,19,2745,2,Cultura fascinante,2024-05-16
509,4,1278,4,Recomendado,2024-02-07
510,3,3001,5,Recomendado,2023-10-15
511,20,3254,3,No volvería,2023-12-21
512,6,3961,2,Asequible y hermoso,2023-12-09
513,7,3376,2,Demasiado turístico,2023-05-29
514,14,2634,1,Increíble experiencia,2023-07-29
515,12,3906,5,No volvería,2023-04-22
516,16,3925,1,Demasiado turístico,2024-10-15
517,20,1862,5,"Buen lugar, pero caro",2024-06-19
518,8,3384,5,Increíble experiencia,2023-02-18
519,2,1606,4,Increíble experiencia,2023-11-27
520,13,3640,1,Asequible y hermoso,2023-12-31
521,8,2062,3,Perfecto para familias,2023-01-11
522,20,2014,5,Increíble experiencia,2023-07-07
523,16,2507,5,Recomendado,2024-05-23
524,4,1708,2,Demasiado turístico,2024-08-02
525,16,1978,4,Servicio excelente,2024-03-20
526,20,2818,3,Servicio excelente,2023-03-31
527,6,3473,5,Asequible y hermoso,2024-09-13
528,4,3635,2,Recomendado,2024-11-06
529,16,1806,1,Increíble experiencia,2024-03-23
530,13,2534,5,Recomendado,2024-12-18
531,5,1720,2,"Buen lugar, pero caro",2023-02-01
532,15,1949,1,Perfecto para familias,2023-11-23
533,8,3703,4,Cultura fascinante,2023-03-15
534,7,1474,1,Perfecto para familias,2023-09-08
535,14,1568,5,Increíble experiencia,2024-03-25
536,7,3259,3,Recomendado,2023-12-21
537,7,2082,1,Perfecto para familias,2024-06-16
538,18,1215,3,Demasiado turístico,2023-10-23
539,10,1900,3,Perfecto para familias,2023-10-25
540,18,2802,1,Perfecto para familias,2023-11-24
541,14,2983,4,Demasiado turístico,2023-10-29
542,10,2097,1,Cultura fascinante,2024-05-26
543,7,3515,2,Cultura fascinante,2023-12-04
544,7,2295,3,Demasiado turístico,2024-08-07
545,7,3402,5,Recomendado,2024-01-09
546,5,2258,3,"Buen lugar, pero caro",2024-07-06
547,1,3673,5,Increíble experiencia,2023-04-04
548,14,3420,2,Asequible y hermoso,2023-05-12
549,18,1184,2,Servicio excelente,2024-09-02
550,13,1674,2,Recomendado,2023-02-22
551,8,3803,1,Perfecto para familias,2024-05-10
552,8,2682,3,Servicio excelente,2023-08-17
553,10,3370,5,Servicio excelente,2024-10-01
554,17,1435,2,Demasiado turístico,2023-07-31
555,6,2067,2,No volvería,2024-05-18
556,15,2337,5,"Buen lugar, pero caro",2024-05-09
557,15,3341,3,"Buen lugar, pero caro",2024-11-01
558,16,1688,3,No volvería,2023-08-21
559,8,1888,5,Increíble experiencia,2023-03-12
560,19,1069,4,No volvería,2024-12-17
561,20,3104,3,Asequible y hermoso,2023-07-08
562,15,3679,5,Asequible y hermoso,2024-10-24
563,3,1420,5,Demasiado turístico,2023-01-08
564,6,3615,2,Perfecto para familias,2023-11-28
565,8,3598,5,Servicio excelente,2024-09-03
566,16,1243,1,"Buen lugar, pero caro",2023-01-16
